City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,khatanga,71.9667,102.5,242.67,87,100,1.6,RU,1674626976
165,garachine,8.0647,-78.3628,298.5,90,96,3.53,PA,1674626977
166,ibra,22.6906,58.5334,290.37,53,22,0.17,OM,1674626977
167,nhulunbuy,-12.2333,136.7667,300.49,83,75,2.06,AU,1674626977
168,basco,20.4487,121.9702,291.79,73,88,13.52,PH,1674626978
169,havelock,34.8791,-76.9013,280.89,71,6,1.67,US,1674626978
170,vila franca do campo,37.7167,-25.4333,286.38,82,80,6.46,PT,1674626978
171,kirksville,40.1948,-92.5833,273.47,97,100,3.09,US,1674626979
172,norman wells,65.282,-126.8329,252.07,97,76,0.45,CA,1674626979
173,ancud,-41.8697,-73.8203,284.36,85,54,1.59,CL,1674626979
174,soyo,-6.1349,12.3689,298.67,82,92,2.19,AO,1674626980
175,victoria,22.2855,114.1577,289.23,65,84,3.58,HK,1674626815
176,yamada,39.4667,141.95,267.49,58,77,8.05,JP,1674626980
177,esperance,-33.8667,121.9,294.36,68,6,7.13,AU,1674626980
178,tessalit,20.1986,1.0114,291.28,18,0,3.78,ML,1674626981
179,port lincoln,-34.7333,135.8667,294.0,55,12,7.26,AU,1674626981
180,fethiye,36.6217,29.1164,281.08,52,0,2.09,TR,1674626981
181,arinos,-15.9169,-46.1056,294.25,94,100,0.75,BR,1674626982
182,nanortalik,60.1432,-45.2371,274.74,90,100,22.82,GL,1674626982
183,lebu,-37.6167,-73.65,285.96,79,0,7.21,CL,1674626982
184,kawai,34.2333,135.85,271.95,74,99,5.71,JP,1674626983
185,leningradskiy,69.3833,178.4167,241.89,94,20,3.81,RU,1674626983
186,umm kaddadah,13.6017,26.6876,291.48,15,74,7.82,SD,1674626983
187,kristiansand,58.1467,7.9956,280.16,88,75,5.66,NO,1674626984
188,lompoc,34.6391,-120.4579,281.25,90,0,2.06,US,1674626984
189,mangalia,43.8,28.5833,274.2,84,100,5.94,RO,1674626984
190,suntar,62.1444,117.6319,241.35,97,99,1.68,RU,1674626985
191,namie,37.4833,141.0,269.25,82,39,9.97,JP,1674626985
192,ilulissat,69.2167,-51.1,265.16,62,100,3.09,GL,1674626985
193,srednekolymsk,67.45,153.6833,243.76,92,100,2.23,RU,1674626986
194,kashi,39.4547,75.9797,264.69,73,99,1.67,CN,1674626986
195,baykit,61.67,96.37,243.66,100,76,0.79,RU,1674626986
